Question,Answer
"In 1966, Africa consumed how much of coal in terms of TWh?",323.12 TWh
"In 1967, Africa consumed how much of coal in terms of TWh?",330.29 TWh
"In 1968, Africa consumed how much of coal in terms of TWh?",343.51 TWh
"In 1969, Africa consumed how much of coal in terms of TWh?",346.64 TWh
"In 1970, Africa consumed how much of coal in terms of TWh?",360.76 TWh
"In 1971, Africa consumed how much of coal in terms of TWh?",383.01 TWh
"In 1972, Africa consumed how much of coal in terms of TWh?",384.21 TWh
"In 1973, Africa consumed how much of coal in terms of TWh?",408.91 TWh
"In 1974, Africa consumed how much of coal in terms of TWh?",425.65 TWh
"In 1975, Africa consumed how much of coal in terms of TWh?",451.08 TWh
"In 1976, Africa consumed how much of coal in terms of TWh?",481.07 TWh
"In 1977, Africa consumed how much of coal in terms of TWh?",491.70 TWh
"In 1978, Africa consumed how much of coal in terms of TWh?",477.82 TWh
"In 1979, Africa consumed how much of coal in terms of TWh?",507.25 TWh
"In 1980, Africa consumed how much of coal in terms of TWh?",543.56 TWh
"In 1981, Africa consumed how much of coal in terms of TWh?",635.80 TWh
"In 1982, Africa consumed how much of coal in terms of TWh?",701.18 TWh
"In 1983, Africa consumed how much of coal in terms of TWh?",713.25 TWh
"In 1984, Africa consumed how much of coal in terms of TWh?",762.90 TWh
"In 1985, Africa consumed how much of coal in terms of TWh?",787.17 TWh
"In 1986, Africa consumed how much of coal in terms of TWh?",805.36 TWh
"In 1987, Africa consumed how much of coal in terms of TWh?",828.32 TWh
"In 1988, Africa consumed how much of coal in terms of TWh?",890.16 TWh
"In 1989, Africa consumed how much of coal in terms of TWh?",835.62 TWh
"In 1990, Africa consumed how much of coal in terms of TWh?",877.68 TWh
"In 1991, Africa consumed how much of coal in terms of TWh?",853.76 TWh
"In 1992, Africa consumed how much of coal in terms of TWh?",858.83 TWh
"In 1993, Africa consumed how much of coal in terms of TWh?",871.71 TWh
"In 1994, Africa consumed how much of coal in terms of TWh?",894.45 TWh
"In 1995, Africa consumed how much of coal in terms of TWh?",922.47 TWh
"In 1996, Africa consumed how much of coal in terms of TWh?",935.23 TWh
"In 1997, Africa consumed how much of coal in terms of TWh?",959.02 TWh
"In 1998, Africa consumed how much of coal in terms of TWh?",937.04 TWh
"In 1999, Africa consumed how much of coal in terms of TWh?",966.01 TWh
"In 2000, Africa consumed how much of coal in terms of TWh?",963.73 TWh
"In 2001, Africa consumed how much of coal in terms of TWh?",975.93 TWh
"In 2002, Africa consumed how much of coal in terms of TWh?",934.42 TWh
"In 2003, Africa consumed how much of coal in terms of TWh?",1017.05 TWh
"In 2004, Africa consumed how much of coal in terms of TWh?",1119.16 TWh
"In 2005, Africa consumed how much of coal in terms of TWh?",1039.07 TWh
"In 2006, Africa consumed how much of coal in terms of TWh?",1054.10 TWh
"In 2007, Africa consumed how much of coal in terms of TWh?",1071.63 TWh
"In 2008, Africa consumed how much of coal in terms of TWh?",1180.73 TWh
